,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4598-0,,,,,,,,,,,,,,,,,,,,,,070117,070204,070417
1,MX4604-0,,,,,,,,,,,,,,,,,070117,070321,070606,070816,071004,071310,071415,071531
2,MX3651-0,,,,,,,,070117,070131,070248,070354,070450,070617,070733,070827,071249,071415,071751,072152,072351,072604,073015,073132,073356
3,MX4021-0,,,,,,070117,070237,070439,070701,070816,070931,071026,071133,071259,071353,071813,071940,072213,072626,072836,073048,073440,073556,073839
4,MX4159-0,,070117,070142,070248,070450,070617,070921,071026,071238,071332,071448,071531,071657,071824,071908,072330,072509,072815,073120,073322,073712,074110,074249,074625
5,MX4338-0,,071205,071332,071448,071636,071824,072118,072319,072414,072542,072658,072815,073015,073156,073249,073712,073911,074300,074730,075318,075717,080225,080511,080915
6,MX4365-0,071951,072046,072203,072319,072458,072626,073015,073048,073300,073419,073545,073629,073839,074038,074110,074520,074730,075318,080036,080545,081115,081527,081916,082454
7,MX4383-0,072213,072542,072647,072753,072920,073143,073502,073629,073900,074016,074110,074206,074354,074553,074657,075129,075308,075928,080948,081505,082010,082621,082853,083233
8,MX4388-0,072836,073356,073451,073629,073817,074048,074448,074625,074857,075024,075151,075423,075611,075749,075854,080309,080438,080959,081841,082254,082726,083233,083443,083726
9,MX4458-0,074510,074553,074719,074825,075024,075151,075611,075822,080058,080225,080331,080449,080736,080904,080948,081432,081621,082211,082937,083200,083515,083904,084032,084358
10,MX4535-0,075401,075600,075706,075811,080014,080142,080522,080652,080915,081032,081149,081338,081559,081758,081905,082411,082610,083021,084148,084409,084757,085410,085620,085757
11,MX4551-0,080014,080153,080320,080427,080641,080926,081327,081454,081704,081841,081959,082232,082454,082748,082853,083338,083559,084104,084937,085137,085537,090144,090321,090523
12,MX4598-1,080342,080652,080758,080948,081200,081327,081642,081831,081937,082116,082326,082516,082821,083010,083115,083559,083841,084304,085032,085159,085714,090155,090417,090618
13,MX4614-0,081432,081516,081621,081715,081841,082033,082348,082443,082653,082748,082948,083115,083327,083610,083715,084115,084314,084714,085359,090007,090332,090712,090901,091049
14,MX4604-1,082737,082915,083032,083211,083443,083621,083937,084032,084304,084452,084652,084842,085104,085255,085410,085830,090029,090321,091133,091426,091719,092202,092339,092549
15,MX3651-1,084021,084220,084336,084537,084714,084937,085305,085443,085703,085830,085945,090101,090249,090428,090512,090922,091111,091405,091951,092118,092516,092948,093146,093408
16,MX3783-0,090300,090405,090512,090628,090901,091205,091459,091625,091856,092035,092151,092234,092423,092527,092610,093042,093219,093629,094049,094250,094604,095107,095257,095456
17,MX4021-1,090545,090650,090755,090955,091205,091321,091647,091824,092046,092213,092350,092444,092610,092758,092853,093335,093524,094038,094406,094604,094847,095329,095507,095729
18,MX4041-0,090922,091111,091227,091332,091542,091730,092046,092234,092506,092654,092821,092937,093124,093252,093346,093807,093933,094438,094836,095035,095351,095846,100014,100225
19,MX4159-1,091332,091752,091846,092003,092213,092423,092715,092831,093052,093157,093303,093357,093608,093702,093734,094207,094344,094709,095024,095214,095529,095856,100025,100236
20,MX4338-1,,,093219,093324,093535,093745,094143,094322,094543,094709,094858,095013,095224,095329,095413,095907,100047,100340,100740,100846,101129,101616,101805,102017
21,MS2259-0,094156,094626,094720,094803,095046,095203,095550,095813,095907,100047,100203,100257,100435,100603,100646,101129,101248,101554,102017,102205,102638,103248,103415,103553
22,MX4383-1,094300,094406,094510,094626,094825,095035,095424,095624,095846,100025,100152,100246,100435,100603,100657,101118,101237,101554,101945,102039,102500,103059,103215,103426
23,MX4388-1,094543,094930,095046,095151,095318,095434,095751,100003,100108,100225,100340,100424,100541,100719,100751,101226,101354,101733,102133,102321,102700,103259,103426,103708
24,MX4365-1,,,,,,,,,,,,,095257,095351,095434,095918,100119,100340,100751,100857,101248,101805,101956,102227
25,MX4458-1,095318,095351,095445,095550,095813,095951,100236,100403,100613,100740,100846,100940,101142,101259,101343,101805,101923,102205,102605,102805,103048,103825,103952,104224
26,MW3387-0,100047,100236,100351,100435,100635,100814,101142,101321,101543,101710,101816,101912,102050,102249,102332,102805,102942,103215,103520,103658,104035,104602,104728,104928
27,MX4535-1,100319,100457,100552,100646,100824,100919,101259,101511,101733,101850,101956,102039,102227,102354,102428,102920,103059,103426,103919,104014,104246,105034,105139,105338
28,MX4551-1,100351,100919,101035,101129,101310,101438,101827,102039,102144,102310,102417,102533,102711,102859,103004,103415,103553,103836,104235,104424,104728,105421,105548,105808
29,MX4598-2,101215,101321,101416,101500,101733,101956,102332,102428,102649,102815,102920,103015,103153,103248,103320,103730,103908,104235,104540,104717,105001,105757,105926,110220
30,MX4614-1,101554,101827,101923,102006,102133,102343,102711,102815,102859,103015,103120,103237,103342,103458,103531,103952,104119,104435,104812,104855,105200,105840,110032,110242
31,MW3343-0,102500,102649,102754,102837,103004,103153,103520,103730,104003,104141,104235,104340,104507,104623,104706,105117,105244,105515,105904,105948,110315,110944,111122,111321
32,MX4604-2,102931,103048,103142,103248,103437,103603,103908,104108,104203,104329,104435,104540,104706,104823,104917,105316,105453,105703,110043,110220,110503,111122,111321,111459
33,MW2780-0,103803,103919,104025,104130,104413,104645,105055,105222,105443,105548,105703,105851,110032,110159,110242,110701,110850,111331,111709,111857,112236,112731,112919,113129
34,MX3651-2,103857,104213,104308,104351,104612,104812,105200,105410,105642,105830,105948,110115,110253,110419,110513,110955,111133,111542,111836,112036,112403,112847,113003,113204
35,MW3528-0,104645,104739,104834,104950,105200,105349,105703,105757,110021,110148,110253,110358,110546,110701,110755,111259,111426,111741,112119,112214,112541,113057,113226,113511
36,MW5191-0,105244,105504,105609,105725,105948,110032,110441,110546,110755,110923,111017,111122,111321,111459,111604,112025,112203,112552,113014,113108,113416,114004,114156,114324
37,MX3783-1,105642,105725,105840,105926,110115,110253,110640,110734,110944,111049,111154,111321,111604,111752,111847,112308,112435,112803,113204,113342,113744,114430,114535,114735
38,MW5264-0,105840,110104,110210,110304,110503,110556,111049,111248,111404,111520,111625,111720,111908,112036,112119,112552,112731,113024,113342,113533,113921,114430,114608,114756
39,MX4041-1,110923,111028,111122,111227,111437,111614,111930,112025,112257,112435,112541,112636,112814,112941,113014,113427,113605,113838,114240,114430,114807,115521,115637,115752
40,MW5346-0,111237,111342,111437,111520,111636,111741,112025,112214,112435,112541,112636,112720,112836,113003,113035,113449,113605,113849,114251,114430,114911,115521,115658,115908
41,MX4338-2,112603,112636,112720,112836,113014,113237,113605,113711,113932,114109,114218,114419,114641,114735,114807,115226,115404,115647,120046,120226,120540,121203,121352,121533
42,MX4021-2,113248,113533,113700,113805,113943,114120,114503,114641,114901,115038,115154,115237,115426,115542,115626,120107,120236,120718,121107,121258,121638,122037,122214,122446
43,MS2259-1,114048,114525,114630,114735,,115005,115426,115604,115825,120003,120107,120236,120424,120602,120645,121045,121225,121543,121954,122109,122435,122908,123034,123202
