,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7706-0,,,,,,,,,,,,070105,070212,070340,070425,070531,070647,070741,070857,071108,071413,071551
1,MW4705-0,,,,,,,,070105,070351,070458,070658,070814,070847,071014,071108,071214,071257,071402,071508,071635,071919,072056
2,MR7964-0,,,,,,,070105,070128,071003,071057,071257,071413,071518,071646,071740,071824,071940,072034,072153,072402,072623,072739
3,AA6952-0,,,,,070105,,070201,070308,071141,071236,071446,071602,071707,071846,071940,072045,072225,072319,072445,072550,072857,073024
4,AA7488-0,,070105,070201,,070836,071057,071203,071341,072341,072435,072645,072803,072857,073046,073141,073235,073402,073456,073614,073752,074036,074108
5,AA7149-0,070719,,071236,071529,071751,072013,072225,072330,073341,073445,,073847,073952,074152,074258,074403,074614,074719,074813,074950,075224,075340
6,MW3346-0,,,,070825,,,,,074741,074835,075044,075200,075246,075446,075551,075646,075813,075929,080024,080140,080425,080635
7,AA7101-0,,,,071857,072424,072601,072835,072951,073941,074057,074320,074436,074519,074730,074824,074939,075128,075224,075340,075540,075802,075907
8,AA7214-0,,071919,072119,072402,072601,072824,073024,073130,074130,074235,074436,074552,074657,074813,074907,075023,075128,075235,075340,075551,075846,080014
9,AA7195-0,072908,072941,073203,073445,073646,073825,074014,074141,075149,075246,,075603,075708,075846,075951,080108,080213,080247,080403,080552,080824,080929
10,AA7248-0,073825,074003,074246,074603,074835,,075424,075635,080719,080813,080951,081128,081212,081349,081538,081705,081759,081904,082020,082147,082440,082617
11,AA7536-0,074603,074845,075128,075446,075824,080119,080247,080425,081349,081443,,081810,081904,082103,082157,082251,082450,082523,082628,082744,082955,083310
12,AA7522-0,075929,080003,080151,080509,080835,081013,081233,081411,082356,082450,,082839,082933,083110,083205,083321,083459,083604,083709,083941,084236,084436
13,AA7322-0,080657,081013,081422,081737,,,082407,082544,083626,083720,,084152,084225,084341,084457,084602,084718,084835,084951,085150,085402,085456
14,AA7706-1,081643,081958,082240,082700,082933,083143,083510,083720,084751,084857,,085341,085434,085635,085751,085941,090057,090214,090321,090407,090701,090755
