,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7440-0,,,,,,,,,,,,,,070107,070142,070247,070331,070447,070552,070719,070931,071237,071436
1,AA7195-0,,125051,131533,131900,132300,,,070107,090000,090116,090210,090315,070909,134415,134636,134741,091113,071447,071520,071636,071859,072204,135933
2,AA7530-0,,,,,,,,070107,071048,071153,071259,071426,071615,071753,071920,072026,072142,072353,072447,072615,072825,073120,073320
3,AA6952-0,,,,,,070107,,070237,071131,071310,071342,071509,071647,071753,071942,072037,072153,072404,072459,072626,072825,073131,073320
4,MR7964-0,,,,,070107,070258,070531,070658,071531,071636,071731,071848,072004,072059,072236,072320,072426,072531,072637,072753,072836,073131,073330
5,AA7488-0,,,070107,070309,070520,070625,070848,071026,072004,072059,072142,072258,072426,072520,072742,072836,072930,073036,073141,073258,073341,073603,073742
6,AA7492-0,,070320,070531,070825,071109,071404,071542,071647,072742,072858,072952,,073320,073425,073636,073742,073858,074016,074121,074248,074343,074713,074841
7,AA7149-0,,070920,071204,071542,071910,072131,072342,072647,073742,073909,074005,074121,074310,074406,074607,074702,074808,075020,075126,075242,075347,075652,075831
8,AA7637-0,,071153,074332,074651,074925,075115,075442,075619,080620,080653,080738,080854,081010,081104,081220,081336,081441,081618,081723,081839,081944,082205,082321
9,AA7706-0,,071320,071826,,072426,072626,072836,073003,073953,074048,074132,074248,074354,074451,074618,074735,074841,075031,075126,075253,075347,075703,075842
10,MW3346-0,,,,071458,,,,,074556,074702,074757,074903,075031,075126,075325,075420,075525,075715,075820,075927,080137,080442,080642
11,AA7101-0,,,,,072236,072426,072658,072836,073753,073920,074005,074143,074310,074418,074607,074713,074819,075020,075126,075242,075347,075703,081734
12,AA6482-0,,072447,072647,073025,073320,073447,073658,073826,074757,074914,075020,075136,075304,075409,075547,075641,075810,075905,080010,080126,080347,080727,080811
13,AA7536-0,073047,,,,080432,101115,080609,101325,082122,082227,082321,082426,082552,082646,082846,082952,083204,083342,083436,083552,083743,084048,104958
14,MW4705-0,073058,073236,073530,073953,074238,074440,074746,074936,075959,080053,080148,080304,080432,080526,080653,080811,080916,081104,081220,081325,081546,081817,082027
15,MW4366-0,075641,075831,080220,080631,080832,081115,081524,081900,083226,083353,083447,083626,083815,083921,084037,084142,084309,084425,084531,084658,084940,085308,085435
16,AA7322-0,080242,080548,080749,081147,081303,081452,081755,082100,083331,083447,083530,,083921,084015,084226,084320,084553,084719,084824,084940,085150,085425,085551
17,AA7440-1,081755,,082603,082857,083131,083331,083552,083826,085107,085308,085414,085540,085856,085939,090242,090358,090609,090703,090819,090935,091146,091452,091618
18,AA6952-1,083826,084015,084459,084908,085330,085646,085939,090137,091335,091513,091618,091755,092005,092059,092321,092428,092556,092723,092829,092956,093144,093427,093615
19,AA7706-1,084142,084846,085246,085729,085917,090127,090325,090504,091513,091629,091723,091900,092027,092121,092321,092439,092606,092723,092839,092956,093155,093427,093615
20,AA7488-1,085341,085657,090044,,090641,090808,091103,091302,092354,092450,092534,092650,092851,092956,093228,093322,093438,093648,093753,093858,094047,094307,094446
21,AA7492-1,090231,090421,,,,,092005,092215,093155,093333,093438,,093742,093825,094003,094119,094246,094457,094623,094740,095012,095350,095528
22,AA7149-1,,,091755,092059,092417,092628,092851,093133,094224,094351,094446,094634,094813,094857,095117,095202,095328,095433,095550,095657,095741,100014,100119
23,AA7101-1,092005,092417,092745,093017,093416,093709,094108,094413,095339,095455,095550,095741,095919,100003,100224,100329,100434,100601,100706,100811,101043,101325,101513
24,AA7637-1,093144,095012,095401,095730,100235,100528,101010,101147,102206,102300,102355,102511,102659,102743,103016,103121,103216,103425,103541,103636,103846,104035,104224
25,MW4705-1,093909,094057,094340,094813,095139,095256,095550,095825,100822,100927,101010,101158,101336,101419,101546,101651,101807,102006,102111,102217,102344,102627,102805
26,AA6482-1,,,,,094047,094141,094424,094540,095636,095752,095857,100035,100202,100246,100413,100528,100633,100738,100844,100959,101232,101513,101608
27,MW4366-1,100749,101126,101535,101955,102312,102616,103005,103310,104340,104455,104550,104727,104947,105031,105255,105359,105504,105653,105758,105903,110113,110418,110534
28,AA7322-1,101756,102144,102344,102827,,,103614,103740,104832,104926,105020,,105244,105327,105504,105558,105653,105820,105925,110008,110135,110418,110544
29,AA7530-1,102827,,103657,104141,104329,104611,104915,105105,110218,110323,110418,,110743,110848,111025,111129,111235,111435,111529,111635,111802,112119,112258
30,AA7492-2,,104401,104759,105105,105421,105758,105925,110041,111036,111151,111246,111413,111551,111657,111919,112003,112119,112247,112415,112533,112710,112958,113210
31,AA7440-2,,105725,110102,110345,110754,111119,111413,111551,112627,112732,112817,113020,113158,113232,113421,113515,113632,113820,113947,114053,114220,114440,114606
32,AA6952-2,111518,,112225,112554,112924,113421,113526,113820,114840,115007,115101,115310,115437,115552,115813,115918,120046,120234,120350,120447,120625,120931,121109
33,AA7488-2,112912,113221,113537,,114241,114501,114757,115007,120024,120129,120151,,120520,120603,120741,120836,120920,121047,121203,121246,121413,121657,121857
34,AA7149-2,,114440,114628,115018,,,,,,,,121657,121730,121846,122046,122140,122245,122446,122624,122718,122857,123214,123341
35,AA6482-2,,,,,120603,120814,121130,,122457,122551,122656,,122918,123023,123203,123308,123435,123602,123729,123834,124000,124253,124411
36,MW4705-2,120614,120931,121319,121741,122108,122307,122645,123002,124000,124105,124159,124326,124505,124610,124830,124935,125112,125333,125449,125544,125659,125921,130058
37,AA7536-1,122256,122613,122857,123150,123457,,124000,124138,,,,,,,125931,125942,130015,130131,130236,130341,130605,130755,130935
38,MW4366-2,123656,123707,123949,124326,124715,124935,125311,125659,130745,130840,130946,131102,131240,131323,131511,131628,131734,131922,132027,132204,132300,132543,132743
39,AA7322-2,124326,124830,,125406,125638,125921,130109,130247,131355,131428,131511,,131817,131849,132027,132121,132227,132354,132511,132605,132827,133108,133235
40,AA7440-3,125732,125848,130120,130426,130755,131040,131251,131617,132532,132648,132743,132921,133036,133130,133319,133424,133539,133657,133813,133929,134130,134403,134520
41,AA6952-3,131755,132059,132522,132816,133203,133601,133813,134141,135236,135353,135458,135755,135922,140038,140310,140429,140643,140847,141015,141132,141325,141652,141840
