,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4619-0,,,,,,,,,,,1,-1,,1,1,-1,-1,-1
1,MW4705-0,,-1,1,1,-1,-1,-1,1,1,1,-1,-1,,,,,,
2,MW5537-0,4,-1,1,1,-1,-1,-1,1,1,,,,,,,,,
