,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4619-0,,,,,,,,,,,080100,080713,,081013,081106,081200,081232,081543
1,MW4705-0,,080131,080445,080641,080805,080910,081127,081232,081325,081832,082226,083241,,,,,,
2,MW5537-0,081957,082018,082340,082538,082652,082724,082859,082941,083023,,,,,,,,,
