,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MW2816-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070236,070334,070523,070606,070700,070724,070756,070945,071050,071427,071659,071912,072008,072134,072207
1,MW2856-0,,,,,,,,,,,,,,070107,070450,070555,070639,070756,070902,071028,071050,071227,071427,071626,071721,071804,071912,072040,072145,072301,072408,072503,072546,072608,072651,072757,073230,073442,073641,073725,073819,073903
2,MW3116-0,070107,071945,072239,072451,072746,073147,073252,073453,073558,073630,073841,073937,073959,074315,074715,074832,074915,075031,075126,075316,075455,075708,080009,080220,080336,080430,080535,080701,080807,080958,081102,081145,081334,081418,081501,081606,081936,082113,082345,082451,082557,082641
3,MW3053-0,,070236,070355,070555,070649,070945,071039,071144,071416,071521,071710,071743,071859,072239,072641,072757,072830,073009,073103,073303,073347,073619,073926,074242,074337,074421,074537,074654,074759,074937,075020,075148,075338,075411,075455,075614,080009,080231,080357,080502,080618,080650
4,MS1953-0,,073903,074337,074737,075020,075400,075517,075708,080031,080136,080252,080607,080650,081041,081428,081701,081745,082019,082124,082356,082502,082937,083208,083440,083556,083651,083755,084006,084111,084216,084311,084439,084555,084627,084700,084816,085155,085346,085535,085631,085726,085820
5,MS2365-0,,080252,080755,081407,081628,082124,082313,082546,082937,083021,083219,083335,083513,083900,084300,084417,084500,084649,084805,085155,085241,085514,085758,090115,090210,090315,090433,090611,090716,090951,091034,091257,091404,091447,091508,091627,091934,092145,092441,092535,092640,092724
6,MW2390-0,,083502,083828,084039,084428,084848,085155,085302,085514,085631,085831,085926,090126,090549,091002,091139,091225,091414,091458,091711,091754,091945,092145,092430,092546,092640,092745,092901,093006,093206,093311,093405,093500,093545,093712,093922,094322,094429,094639,094828,094957,095040
7,MW2816-1,,084533,084837,085123,085335,085758,090010,090148,090326,090444,090611,090654,090856,091236,091711,091849,091923,092145,092250,092441,092513,092713,092923,093133,093238,093322,093427,093618,093701,093922,093955,094123,094217,094301,094322,094451,094851,094946,095148,095256,095340,095424
8,MW2856-1,,090159,090506,090811,091225,091531,091733,091912,092240,092357,092546,092651,092818,093206,093556,093712,093756,093944,094018,094155,094250,094451,094734,094946,095103,095159,095329,095446,095540,095802,095846,095929,100047,100109,100130,100308,100635,100740,100919,101035,101141,101225
9,MW3053-1,093006,093111,093438,093850,094101,094357,094545,094806,095148,095245,095446,095540,095603,095940,100341,100519,100603,100707,100803,100951,101046,101319,101604,101815,101912,101956,102124,102359,102455,102800,102905,102958,103103,103146,103312,103439,103838,104112,104354,104459,104615,104709
10,MW3060-0,,094701,094851,095125,095351,095741,100036,100247,100552,100646,100857,101002,101141,101542,101934,102051,102147,102316,102422,102600,102644,102854,103157,103407,103512,103606,103711,103827,103934,104112,104206,104321,104416,104459,104615,104741,105235,105425,105624,105729,105835,105907
11,MW3116-1,,095741,100109,100330,100646,101013,101246,101604,101912,101956,102147,102254,102359,102727,103114,103240,103323,103501,103555,103754,103838,104050,104310,104510,104604,104709,104825,104951,105024,105224,105307,105425,105519,105541,105603,105729,110046,110223,110403,110509,110625,110709
12,MP5823-0,102937,103501,103754,103945,104310,104615,104930,105246,105624,105729,105845,105950,110151,110531,110908,111035,111129,111319,111403,111635,111751,112046,112308,112530,112657,112751,112920,113109,113204,113342,113448,113614,113753,113849,113922,114049,114440,114608,114818,114924,115040,115145
