,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7536-0,,-1,1,-1,-1,4,,-1,1,-1,-1,-1,,1,1,1,1,,,,,1,-1
1,AA7842-0,-1,-1,1,-1,-1,1,4,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
2,MW4705-0,,,,,,,,1,1,-1,-1,-1,-1,-1,1,1,1,3,1,1,1,1,-1
3,AA7530-0,,,,,,,,1,1,-1,-1,-1,-1,1,1,1,1,2,4,1,1,1,-1
4,AA6952-0,,,1,-1,-1,,2,-1,1,-1,-1,-1,-1,-1,1,1,1,1,5,1,1,1,-1
5,AA7303-0,-1,-1,-1,-1,-1,2,2,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,1,-1
6,MR7964-0,,,,,-1,1,2,-1,1,-1,-1,-1,-1,1,1,1,1,1,5,1,1,1,-1
7,AA7759-0,,-1,2,-1,-1,1,3,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
8,MW4647-0,-1,-1,1,-1,-1,3,2,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
9,MW4825-0,-1,-1,1,-1,-1,1,4,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
10,AA7101-0,,,,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,3,1,1,1,-1
11,MW4938-0,,-1,1,-1,-1,2,4,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
12,AA7492-0,-1,-1,1,-1,-1,,4,-1,1,-1,-1,-1,-1,-1,1,1,1,1,2,1,1,1,-1
13,MW3430-0,,,,-1,-1,1,4,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
14,AA7252-0,,-1,1,-1,,,4,-1,,,,-1,-1,-1,1,1,1,1,1,1,1,,-1
15,AA7871-0,,-1,1,,-1,4,4,-1,1,-1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
16,AA7637-0,,-1,1,-1,-1,4,4,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
17,MW4366-0,-1,-1,1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
18,MS1935-0,-1,-1,1,-1,-1,3,4,1,1,-1,-1,,-1,,,,,,,,,,
19,AA7488-0,,,1,,-1,1,4,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1
